HEADER,conceptType,conceptUri,preferredLabel,status,skillType,reuseLevel,altLabels,description,broaderConceptUri,broaderConceptPT,conceptType,
DigitalSkills,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/000f1d3d-220f-4789-9c0a-cc742521fb02,Haskell,released,knowledge,sector-specific,Haskell,"The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in Haskell.",http://data.europa.eu/esco/skill/21d2f96d-35f7-4e3f-9745-c533d2dd6e97 | http://data.europa.eu/esco/isced-f/0613,computer programming | software and applications development and analysis,,
DigitalSkills,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00c04e40-35ea-4ed1-824c-82f936c8f876,Incremental development,released,knowledge,sector-specific,Incremental development,The incremental development model is a methodology to design software systems and applications.,http://data.europa.eu/esco/skill/bec4359e-cb92-468f-a997-8fb28e32fba9 | http://data.europa.eu/esco/isced-f/0613,ICT project management methodologies | software and applications development and analysis,,
DigitalSkills,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/013441c1-1f13-47e9-80c4-9a53e8e1bc05,KDevelop,released,knowledge,sector-specific,KDevelop 4.7.0 | KDevelop 4.6.0 | KDevelop 4.0.0 | KDevelop | KDevelop 5.0.0,"The computer program KDevelop is a suite of software development tools for writing programs, such as compiler, debugger, code editor, code highlights, packaged in a unified user interface. It is developed by the software community KDE.",http://data.europa.eu/esco/isced-f/0612 | http://data.europa.eu/esco/skill/925463a7-d51f-4d5b-9f79-4d28cf30acde,database and network design and administration | integrated development environment software,,
DigitalSkills,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0189f448-179e-47cc-9716-c5c3ac4b1aec,Absorb (learning management systems),released,knowledge,sector-specific,Absorb,"The learning system Absorb is an e-learning platform for creating, administrating and delivering e-learning education courses or training programs for secondary school students.",http://data.europa.eu/esco/skill/6c80d53c-d8c9-41fe-998f-091fca208834 | http://data.europa.eu/esco/isced-f/0612,learning management systems | database and network design and administration,,
DigitalSkills,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/020918ef-4b55-47c1-8430-ab7b8f6a7377,migrate existing data,released,skill/competence,sector-specific,migrate existing data,"Apply migration and conversion methods for existing data, in order to transfer or convert data between formats, storage or computer systems.",http://data.europa.eu/esco/skill/6a7fc30d-af16-4cc5-a957-29d174bdb61c,"managing, gathering and storing digital data",,
DigitalSkills,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/022dc430-872a-473a-9cf4-fed4895e58ad,define database physical structure,released,skill/competence,sector-specific,define database physical structure | define database physical storage structure,"Specify the physical configuration of database files on a given media. This consists of in-detail specifications of indexing options, data types and data elements placed in the data dictionary.",http://data.europa.eu/esco/skill/6a7fc30d-af16-4cc5-a957-29d174bdb61c,"managing, gathering and storing digital data",,
DigitalSkills,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/024037ca-96a9-4cb8-ba86-2cd5a209c90a,Maltego,released,knowledge,sector-specific,Maltego,"The platform Maltego is a forensic application that uses data mining to deliver on overview of organisations' environment, testing security weaknesses of the system for potentially unauthorised access and demonstrates the complexity of infrastructure failures.",http://data.europa.eu/esco/skill/de586dcf-d7e5-4340-bf5b-d59026f1b436 | http://data.europa.eu/esco/isced-f/0613,penetration testing tool | software and applications development and analysis,,
DigitalSkills,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0256f6b0-f4a9-4c5e-9cfd-96d58a2a70fe,operate radio equipment,released,skill/competence,cross-sector,facilitate use of radio devices | set up and maintain radio equipment | oversee the use of radio equipment | operate radio devices | set up and maintain radio devices | use radio equipment | use radio devices | utilise radio devices | operate radio equipment | oversee the use of radio devices | facilitate use of radio equipment | utilise radio equipment,"Set up and operate radio devices and accessories, such as broadcast consoles, amplifiers, and microphones. Understand the basics of radio operator language and, when necessary, provide instruction in handling radio equipment correctly.",http://data.europa.eu/esco/skill/0a88a13f-693a-4dde-b44c-22e6f98fabc6 | http://data.europa.eu/esco/skill/9bafaea2-76cd-4532-ab77-8b3d21fa6235,operating communications equipment | coordinate remote communications,,
DigitalSkills,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/034c29fa-c3ba-45ea-b8f3-bf8e3705e386,Erlang,released,knowledge,sector-specific,Erlang,"The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in Erlang.",http://data.europa.eu/esco/isced-f/0613 | http://data.europa.eu/esco/skill/21d2f96d-35f7-4e3f-9745-c533d2dd6e97,software and applications development and analysis | computer programming,,
DigitalSkills,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/03a74eee-2dc6-4147-8667-5cdeb65f122d,manage ICT data classification,released,skill/competence,sector-specific,manage ICT data classification,Oversee the classification system an organisation uses to organise its data. Assign an owner to each data concept or bulk of concepts and determine the value of each item of data.,http://data.europa.eu/esco/skill/6a7fc30d-af16-4cc5-a957-29d174bdb61c | http://data.europa.eu/esco/skill/4d85b881-e490-4b4c-897a-2faa4ef53956,"managing, gathering and storing digital data | manage ICT data architecture",,
DigitalSkills,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/03ff0d53-573a-47a0-a0ad-1995815a4339,information structure,released,knowledge,sector-specific,information structure,"The type of infrastructure which defines the format of data: semi-structured, unstructured and structured.",http://data.europa.eu/esco/isced-f/0612,database and network design and administration,,
DigitalSkills,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/04473991-161d-46db-8684-0d5ed6cb6c66,manage temporary ICT networks for live performance,released,skill/competence,occupation-specific,,"Manage the set-up of networks for distribution of control signals for performing art and event applications. Coordinates with the different users. Defines and sets-up the equipment, cables, connections and devices. Configures, tests and monitors equipment and performance of the network. Control signals include for example DMX, RDM, MIDI, Timecode, tracking and positioning data, but also audio, video and positioning signals. ",http://data.europa.eu/esco/skill/f839b1da-78b6-4466-86f4-a5798821ea20,setting up computer systems,,
DigitalSkills,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0458f6a0-cb54-4ff5-a543-b2c5354e17c0,keep up with digital transformation of industrial processes,released,skill/competence,sector-specific,keep up to date with digital transformation of industrial processes | follow digital transformation of industry | follow digital transformation of industrial processes | keep pace with digital transformation of industrial processes | keep up with digital transformation of industrial processes | keep up with digital transformation of industry,Keep up to date with digital innovations applicable to industrial processes. Integrate these transformations in the company's processes aiming for competitive and profitable business models.,http://data.europa.eu/esco/skill/e2a5e046-3357-493e-bbdc-8d0ef82005cc,monitoring developments in area of expertise,,
DigitalSkills,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/04cf164c-d07d-49cf-a1b3-84bdbd79b5cb,set up office equipment,released,skill/competence,occupation-specific,setting up office equipment | furnish office equipment | set up equipment for offices | supply office equipment | set up office equipment,"Connect office equipment, such as modems, scanners and printers, to the electricity network and perform electrical bonding to avoid dangerous potential differences. Test the installation for proper functioning. Monitor settings and prepare the appliance for usage.",http://data.europa.eu/esco/skill/906211b3-afed-4a2b-b5e1-33f2885fee85,performing general clerical and administrative tasks,,
DigitalSkills,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/04f1b938-d4d4-4cb1-a863-982af76b9d93,SAS language,released,knowledge,sector-specific,SAS language,"The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in SAS language.",http://data.europa.eu/esco/isced-f/0613 | http://data.europa.eu/esco/skill/21d2f96d-35f7-4e3f-9745-c533d2dd6e97 | http://data.europa.eu/esco/skill/ad59afe4-6f8a-4bc4-acfd-0f228277508a,software and applications development and analysis | computer programming | statistical analysis system software,,
DigitalSkills,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/04fe962b-4017-4eb7-9139-7d69b6922bc9,use an application-specific interface,released,skill/competence,sector-specific,application-specific interface operating | use an application-specific interface | application-specific interface using | operate an application-specific interface | use an interface specific to the application | using an application-specific interface | operating an interface specific to the application | operating an application-specific interface | using an interface specific to the application | operate an interface specific to the application,Understand and use interfaces particular to an application or use case.,http://data.europa.eu/esco/skill/39499028-35bf-4d69-9275-fb98902ed88b,working with computers,,
